ReportingUnitUUID,EPSGCodeCV,ReportingUnitName,ReportingUnitNativeID,ReportingUnitProductVersion,ReportingUnitTypeCV,ReportingUnitUpdateDate,StateCV,Geometry
NERU_1,EPSG:4326,Central Platte NRD,18,,Basin,,NE,
NERU_2,EPSG:4326,Lewis & Clark NRD,8,,Basin,,NE,
NERU_3,EPSG:4326,Little Blue NRD,5,,Basin,,NE,
NERU_4,EPSG:4326,Lower Big Blue NRD,2,,Basin,,NE,
NERU_5,EPSG:4326,Lower Elkhorn NRD,4,,Basin,,NE,
NERU_6,EPSG:4326,Lower Loup NRD,7,,Basin,,NE,
NERU_7,EPSG:4326,Lower Niobrara NRD,14,,Basin,,NE,
NERU_8,EPSG:4326,Lower Platte North NRD,19,,Basin,,NE,
NERU_9,EPSG:4326,Lower Platte South NRD,20,,Basin,,NE,
NERU_10,EPSG:4326,Lower Republican NRD,23,,Basin,,NE,
NERU_11,EPSG:4326,Middle Niobrara NRD,13,,Basin,,NE,
NERU_12,EPSG:4326,Middle Republican NRD,22,,Basin,,NE,
NERU_13,EPSG:4326,Nemaha NRD,11,,Basin,,NE,
NERU_14,EPSG:4326,North Platte NRD,15,,Basin,,NE,
NERU_15,EPSG:4326,Papio-Missouri River NRD,10,,Basin,,NE,
NERU_16,EPSG:4326,South Platte NRD,16,,Basin,,NE,
NERU_17,EPSG:4326,Tri-Basin NRD,24,,Basin,,NE,
NERU_18,EPSG:4326,Twin Platte NRD,17,,Basin,,NE,
NERU_19,EPSG:4326,Upper Big Blue NRD,1,,Basin,,NE,
NERU_20,EPSG:4326,Upper Elkhorn NRD,3,,Basin,,NE,
NERU_21,EPSG:4326,Upper Loup NRD,6,,Basin,,NE,
NERU_22,EPSG:4326,Upper Niobrara White NRD,12,,Basin,,NE,
NERU_23,EPSG:4326,Upper Republican NRD,21,,Basin,,NE,
