,OrganizationUUID,VariableSpecificUUID,ReportingUnitUUID,PrimaryUseCategory,BeneficialUseCategory,WaterSourceUUID,MethodUUID,TimeframeStart,TimeframeEnd,DataPublicationDate,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID,CustomerTypeCV,AllocationCropDutyAmount,IrrigationMethodCV,CropTypeCV,CommunityWaterSupplySystem,SDWISIdentifierCV
6,WWDO,Consumptive Use,WY_1,Irrigation,Industrial Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
7,WWDO,Consumptive Use,WY_1,Irrigation,Industrial Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
27,WWDO,Consumptive Use,WY_4,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
28,WWDO,Consumptive Use,WY_4,Irrigation,Municipal  Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
43,WWDO,Consumptive Use,WY_6,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
51,WWDO,Consumptive Use,WY_7,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
52,WWDO,Consumptive Use,WY_7,Irrigation,Municipal  Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
53,WWDO,Consumptive Use,WY_7,Irrigation,Domestic Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
54,WWDO,Consumptive Use,WY_7,Irrigation,Domestic Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2000,,,,,,,,,,,,
84,WWDO,Consumptive Use,WY_4,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
85,WWDO,Consumptive Use,WY_4,Irrigation,Municipal  Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
100,WWDO,Consumptive Use,WY_6,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
108,WWDO,Consumptive Use,WY_7,Irrigation,Municipal  Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
109,WWDO,Consumptive Use,WY_7,Irrigation,Municipal  Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
110,WWDO,Consumptive Use,WY_7,Irrigation,Domestic Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
111,WWDO,Consumptive Use,WY_7,Irrigation,Domestic Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2001,,,,,,,,,,,,
902,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2015,,,,,,,,,,,,
903,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2015,,,,,,,,,,,,
959,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2016,,,,,,,,,,,,
960,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2016,,,,,,,,,,,,
1016,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2017,,,,,,,,,,,,
1017,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2017,,,,,,,,,,,,
1030,WWDO,Consumptive Use,WY_1,Irrigation,Domestic Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2018,,,,,,,,,,,,
1073,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Surface Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2018,,,,,,,,,,,,
1074,WWDO,Consumptive Use,WY_6,Irrigation,Industrial Use,Ground Water,WWDO_Water_uses,01/01,12/31,12/19/2019,,2018,,,,,,,,,,,,
